ID,Lemma,Complement,BirthYear,DeathYear,URL,UncertaintyBirth,UncertaintyDeath
44187,Zinkernagel,Rolf Martin,1944 -,,http://hls-dhs-dss.ch/de/articles/044187/2013-02-21/,,
48961,Klöti,Ulrich,1943 - 2006,,http://hls-dhs-dss.ch/de/articles/048961/2007-04-26/,,
43411,Zwahlen,Jean-Claude,1943 - 2006,,http://hls-dhs-dss.ch/de/articles/043411/2014-03-03/,,
48862,Zaugg,Rémy,1943 - 2005,,http://hls-dhs-dss.ch/de/articles/048862/2014-02-03/,,
47225,Pury,David de,1943 - 2000,,http://hls-dhs-dss.ch/de/articles/047225/2012-06-22/,,
58045,Crausaz,Roselyne,1943 -,,http://hls-dhs-dss.ch/de/articles/058045/2022-03-02/,,
58048,Nanchen,Gabrielle,1943 -,,http://hls-dhs-dss.ch/de/articles/058048/2024-04-23/,,
58082,Sahlfeld-Singer,Hanna,1943 -,,http://hls-dhs-dss.ch/de/articles/058082/2024-03-21/,,
48741,Marchi,Otto,1942 - 2004,,http://hls-dhs-dss.ch/de/articles/048741/2008-08-21/,,
11803,Fringeli,Dieter,1942 - 1999,,http://hls-dhs-dss.ch/de/articles/011803/2004-10-20/,,
9169,Gloor,Kurt,1942 - 1997,,http://hls-dhs-dss.ch/de/articles/009169/2005-11-24/,,
49112,Wallach-Faller,Marianne,1942 - 1997,,http://hls-dhs-dss.ch/de/articles/049112/2012-12-19/,,
11626,Burger,Hermann,1942 - 1989,,http://hls-dhs-dss.ch/de/articles/011626/2003-04-10/,,
33757,Couchepin,Pascal,1942 -,,http://hls-dhs-dss.ch/de/articles/033757/2023-04-19/,,
44859,Merz,Hans-Rudolf,1942 -,,http://hls-dhs-dss.ch/de/articles/044859/2022-10-10/,,
4741,Ogi,Adolf,1942 -,,http://hls-dhs-dss.ch/de/articles/004741/2022-03-11/,,
49668,Sablonier,Roger,1941 - 2010,,http://hls-dhs-dss.ch/de/articles/049668/2011-02-09/,,
9235,Schmid,Daniel,1941 - 2006,,http://hls-dhs-dss.ch/de/articles/009235/2011-08-22/,,
62218,Mengis-Imhasly,Ines,1941 - 2004,,http://hls-dhs-dss.ch/de/articles/062218/2025-01-07/,,
33661,Onken,Thomas,1941 - 2000,,http://hls-dhs-dss.ch/de/articles/033661/2010-06-03/,,
58080,Füeg,Cornelia,1941 -,,http://hls-dhs-dss.ch/de/articles/058080/2024-03-20/,,
58047,Jaggi,Yvette,1941 -,,http://hls-dhs-dss.ch/de/articles/058047/2024-04-23/,,
58055,Küchler-Flury,Maria,1941 -,,http://hls-dhs-dss.ch/de/articles/058055/2019-06-12/,,
5349,Villiger,Kaspar,1941 -,,http://hls-dhs-dss.ch/de/articles/005349/2022-07-19/,,
43263,Tschopp,Peter,1940 - 2009,,http://hls-dhs-dss.ch/de/articles/043263/2011-12-15/,,
48243,Ochsenbein,Peter,1940 - 2003,,http://hls-dhs-dss.ch/de/articles/048243/2009-05-06/,,
6558,Roy,Gabriel,1940 - 2001,,http://hls-dhs-dss.ch/de/articles/006558/2010-02-22/,,
46190,Germann,Raimund E.,1940 - 1999,,http://hls-dhs-dss.ch/de/articles/046190/2005-11-07/,,
33682,Blatter,Ueli,1940 - 1995,,http://hls-dhs-dss.ch/de/articles/033682/2002-11-06/,,
12101,Meienberg,Niklaus,1940 - 1993,,http://hls-dhs-dss.ch/de/articles/012101/2009-11-03/,,
27035,Frei,Daniel,1940 - 1988,,http://hls-dhs-dss.ch/de/articles/027035/2016-08-31/,,
59714,Blocher,Christoph,1940 -,,http://hls-dhs-dss.ch/de/articles/059714/2022-11-04/,,
28730,Dreifuss,Ruth,1940 -,,http://hls-dhs-dss.ch/de/articles/028730/2022-11-23/,,
4738,Cotti,Flavio,1939 - 2020,,http://hls-dhs-dss.ch/de/articles/004738/2022-11-29/,,
43342,Plattner,Gian-Reto,1939 - 2009,,http://hls-dhs-dss.ch/de/articles/043342/2010-02-11/,,
33577,Robbiani,Dario,1939 - 2009,,http://hls-dhs-dss.ch/de/articles/033577/2012-02-10/,,
35113,Hess,Ulrico,1939 - 2006,,http://hls-dhs-dss.ch/de/articles/035113/2006-08-30/,,
49100,Regazzoni,Clay,1939 - 2006,,http://hls-dhs-dss.ch/de/articles/049100/2012-01-18/,,
48920,Schmidli,Werner,1939 - 2005,,http://hls-dhs-dss.ch/de/articles/048920/2011-08-17/,,
49738,Weiersmüller,Rudolf,1939 - 2004,,http://hls-dhs-dss.ch/de/articles/049738/2016-11-25/,,
48147,Wegmann,Dora,1939 - 2001,,http://hls-dhs-dss.ch/de/articles/048147/2012-09-17/,,
45300,Hager,Fritz-Peter,1939 - 1997,,http://hls-dhs-dss.ch/de/articles/045300/2006-08-10/,,
23022,Maissen,Toya,1939 - 1991,,http://hls-dhs-dss.ch/de/articles/023022/2021-11-18/,,
44811,Etter,Paul,1939 - 1985,,http://hls-dhs-dss.ch/de/articles/044811/2003-01-20/,,
49169,Locher,Johannes Theophil,1938 - 2007,,http://hls-dhs-dss.ch/de/articles/049169/2008-07-09/,,
7897,Laederach,Monique,1938 - 2004,,http://hls-dhs-dss.ch/de/articles/007897/2009-03-10/,,
48230,Krippendorf,Jost,1938 - 2003,,http://hls-dhs-dss.ch/de/articles/048230/2007-11-22/,,
44170,Bossard,Peter,1938 - 2001,,http://hls-dhs-dss.ch/de/articles/044170/2003-01-07/,,
47246,Flury,Peter,1938 - 2001,,http://hls-dhs-dss.ch/de/articles/047246/2020-01-27/,,
33921,Buffi,Giuseppe,1938 - 2000,,http://hls-dhs-dss.ch/de/articles/033921/2003-02-17/,,
47981,Kohler,Christine,1938 - 1993,,http://hls-dhs-dss.ch/de/articles/047981/2006-02-27/,,
