"graph","sub","identifier","name"
,"https://ld.admin.ch/district/2108","2108","Vallemaggia"
,"https://ld.admin.ch/district/1404","1404","Schleitheim"
,"https://ld.admin.ch/district/2008","2008","Weinfelden"
,"https://ld.admin.ch/district/2005","2005","Kreuzlingen"
,"https://ld.admin.ch/district/2101","2101","Bellinzona"
,"https://ld.admin.ch/district/2204","2204","Cossonay"
,"https://ld.admin.ch/district/2102","2102","Blenio"
,"https://ld.admin.ch/district/2212","2212","Orbe"
,"https://ld.admin.ch/district/2200","2200","Région sans district VD"
,"https://ld.admin.ch/district/2205","2205","Echallens"
,"https://ld.admin.ch/district/2218","2218","Vevey"
,"https://ld.admin.ch/district/2217","2217","La Vallée"
,"https://ld.admin.ch/district/2211","2211","Nyon"
,"https://ld.admin.ch/district/2209","2209","Morges"
,"https://ld.admin.ch/district/2203","2203","Avenches"
,"https://ld.admin.ch/district/2216","2216","Rolle"
,"https://ld.admin.ch/district/2210","2210","Moudon"
,"https://ld.admin.ch/district/2208","2208","Lavaux"
,"https://ld.admin.ch/district/2202","2202","Aubonne"
,"https://ld.admin.ch/district/2215","2215","Pays-d'Enhaut"
,"https://ld.admin.ch/district/2207","2207","Lausanne"
,"https://ld.admin.ch/district/2201","2201","Aigle"
,"https://ld.admin.ch/district/2214","2214","Payerne"
,"https://ld.admin.ch/district/2206","2206","Grandson"
,"https://ld.admin.ch/district/2219","2219","Yverdon"
,"https://ld.admin.ch/district/2213","2213","Oron"
,"https://ld.admin.ch/district/1401","1401","Oberklettgau"
,"https://ld.admin.ch/district/2300","2300","Région sans district VS"
,"https://ld.admin.ch/district/2401","2401","Boudry"
,"https://ld.admin.ch/district/2405","2405","Val-de-Ruz"
,"https://ld.admin.ch/district/2404","2404","Neuchâtel"
,"https://ld.admin.ch/district/2406","2406","Val-de-Travers"
,"https://ld.admin.ch/district/2100","2100","Territ. senza distr. TI"
,"https://ld.admin.ch/district/2000","2000","Bezirksfreies Gebiet TG"
,"https://ld.admin.ch/district/2003","2003","Diessenhofen"
,"https://ld.admin.ch/district/1400","1400","Bezirksfreies Gebiet SH"
,"https://ld.admin.ch/district/1000","1000","Région sans district FR"
,"https://ld.admin.ch/district/800","800","Kt. Glarus"
,"https://ld.admin.ch/district/2403","2403","Le Locle"
,"https://ld.admin.ch/district/2402","2402","La Chaux-de-Fonds"
,"https://ld.admin.ch/district/1602","1602","Aeusserer Landesteil"
,"https://ld.admin.ch/district/1601","1601","Innerer Landesteil"
