office,name_de,name_fr
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O189,Generalsekretariat EJPD,Secrétariat général du DFJP
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O19,Amt für geistiges Eigentum,Bureau de la propriété intellectuelle
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O190,Beschwerdedienst,Section des recours
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O191,Zivildienst,Service civil
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O192,Schweizerische Akkreditierungsstelle,Service d'accrédiation suisse
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O193,Schweizerische Unfalluntersuchungsstelle,Service d'enquête suisse sur les accidents
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O194,Abteilung für Adjutantur,Service de l'adjudance
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O195,Abteilung für Artillerie,Service de l'artillerie
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O196,Abteilung für Flugwesen und Fliegerabwehr,Service de l'aviation et de la défense contre avions
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O197,Gesundheitsamt,Service de l'hygiène publique
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O198,Abteilung für Infanterie,Service de l'infanterie
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O199,Generalstabsabteilung,Service de l'état-major général
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O2,Finanzverwaltung,Administration des finances
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O20,Statistisches Amt,Bureau de statistique
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O200,Abteilung für Heeresmotorisierung,Service de la motorisation de l'armée
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O201,Abteilung für Luftschutz,Service de la protection anti-aérienne
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O202,Amt für Gewässerschutz,Service de la protection des eaux
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O203,Nachrichtendienst des Bundes,Service de renseignement de la Confédération
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O204,Abteilung für Sanität,Service de santé
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O205,Abteilung für Militärflugplätze,Service des aérodromes militaires
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O206,Amt für Wasserwirtschaft,Service des eaux
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O207,Sektion für Ein- und Ausfuhr,Service des importations et exportations
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O208,Amt für Straßen- und Flußbau,Service des routes et des digues
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O209,Abteilung für Übermittlungstruppen,Service des transmissions
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O21,Versicherungsamt,Bureau des assurances
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O210,Abteilung für Transportdienst und Reparaturtruppen,Service des transports et des réparations
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O211,Kriegstechnische Abteilung,Service technique militaire
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O212,Abteilung für Territorialdienst und Luftschutztruppen,Service territorial et des troupes de protection aérienne
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O213,Abteilung für Landestopographie,Service topographique
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O214,Abteilung für Veterinärwesen,Service vétérinaire
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O215,Abteilung für Leichte Truppen,Services des troupes légères
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O216,Abteilung für Mechanisierte und Leichte Truppen,Services des troupes mécanisées et légères
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O217,Meteorologische Zentralanstalt,Station centrale de météorologie
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O218,Landwirtschaftliche Forschungsanstalten,Stations de recherches agronomiques
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O219,Informatiksteuerungsorgan des Bundes,Unité de pilotage informatique de la Confédération
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O22,Amt für Maß und Gewicht,Bureau des poids et mesures
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O23,Büro des Delegierten für Arbeitsbeschaffung und wirtschaftlicher Landesverteidigung,Bureau du délégué aux possibilités de travail et à la défense nationale économique
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O24,Versicherungskasse,Caisse d'assurance
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O25,Heiz- und Elektrizitätszentrale,Centrale de chauffage et d'électricité
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O26,Zentralstelle für Arbeitsbeschaffung und Büro für Wohnungsbau,Centrale des possibilités de travail et bureau pour la construction de logements
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O27,Bundesreisezentrale,Centrale des voyages de la Confédération
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O28,Zentralstelle für Organisationsfragen,Centrale pour les questions d'organisation
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O29,Informatik-Dienstleistungszentrum VBS,Centre de services informatiques DDPS
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O3,PTT-Verwaltung,Administration des PTT
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O30,Informatik-Dienstleistungszentrum UVEK,Centre de services informatiques DETEC
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O31,Informatik-Dienstleistungszentrum EDA,Centre de services informatiques DFAE
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O32,Information Service Center EVD,Centre de services informatiques DFE
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O33,Information Service Center WBF,Centre de services informatiques DFER
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O34,Informatik-Dienstleistungszentrum EDI,Centre de services informatiques DFI
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O35,Informatik Service Center EJPD,Centre de services informatiques DFJP
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O36,Filmkammer,Chambre du cinéma
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O37,Rehabilitationsklinik Novaggio,Clinique de réadaptation de Novaggio
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O38,Militärspital Novaggio,Clinique militaire de Novaggio
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O39,Oberkriegskommissariat,Commissariat central des guerres
